wkt_geom,_record_id,_title,_server_up,_project,_assigned_,_updated_b,_latitude,_longitude,name,address,time,building_n,room_numbe,open_after,student_ru,total_numb,takes_cash,takes_watc,takes_debi,takes_cred,coffee_pri,coffee_p_1,coffee_p_2,tea_price_,chocolate_,can_of_pop,other_prod,muffin_pri,chocolat_1,atmosphere,photo_of_l
Point (-80.53586751299999946 43.47245420979999864),0e7bbe91-ccc4-49d1-9111-7ba71be84be0,Second Cup,2018-09-24 03:31:24 EDT,,Keane Jasper Yao Tan,Keane Jasper Yao Tan,43.47245421,-80.53586751,Second Cup,150 University Ave W Waterloo ON N2L 3E4 CA,17:01,University Shops Plaza,150,yes,no,90,yes,no,yes,yes,1.95,2.35,2.85,2.25,0,0,"Chocolate Bars,Cookies,Energy Bars,Hot Food,Muffins,Sandwiches/Wraps",2.65,2.35,8,"https://web.fulcrumapp.com/photos/view?photos=3b943b88-5996-41d2-80cd-d2e48361431d,8daf6d8f-d036-4b93-939b-aa695fb23856"
Point (-80.54551152000000513 43.46940366689999991),39e58d0d-6378-4a98-90ab-671e9a7b369d,SJU caf,2018-09-25 17:18:39 EDT,,Ruo Yu Wang,Ruo Yu Wang,43.46940367,-80.54551152,SJU caf,200 University Ave W Waterloo ON N2L CA,16:55,St Jerome?s Univeristy,,yes,no,76,yes,no,yes,yes,10,10,10,0,0,0,"Cookies,Hot Food,Muffins,Salads,Sandwiches/Wraps",0,0,6,"https://web.fulcrumapp.com/photos/view?photos=15407a06-910b-4780-9860-22135f251f6c,8e877958-6b5d-4a01-8495-b2af1103d699,e17587b1-63fe-44cf-91ca-39947ec61e66"
Point (-80.54598639639999647 43.47327308210000041),938d0ab0-420a-405c-b3d2-10caf09df371,Starbucks-AHS,2018-09-24 17:17:01 EDT,,Lisa Tram Nguyen,Lisa Tram Nguyen,43.47327308,-80.5459864,Starbucks-AHS,Ring Rd Waterloo ON N2L CA,16:54,Applied Health Science,,no,no,48,yes,yes,yes,no,2.05,2.57,2.99,2.57,0,2.59,"Candy,Chips/Snacks,Cookies,Donuts,Hot Food,Muffins,Sandwiches/Wraps",2.37,2.45,8,https://web.fulcrumapp.com/photos/view?photos=4e8b8806-4e28-4f78-bf7a-b2c777788204
Point (-80.54372958749999611 43.47056623600000336),643ae838-908e-49ce-8aa8-a23d889bf614,Starbucks-STC,2018-09-24 17:42:23 EDT,,Lisa Tram Nguyen,Lisa Tram Nguyen,43.47056624,-80.54372959,Starbucks-STC,200 University Ave W Waterloo ON N2L 3G1 CA,17:20,Science Teaching Complex,,yes,no,58,yes,yes,yes,no,2.05,2.57,2.99,2.57,0,2.59,"Candy,Chips/Snacks,Cookies,Donuts,Hot Food,Muffins,Sandwiches/Wraps",2.37,2.37,7,https://web.fulcrumapp.com/photos/view?photos=6268db65-2e62-44c1-9fa2-91c5fa646629
Point (-80.54553749999999468 43.46967109999999934),9a7c0f8a-383c-49b3-92f0-c4302f0725cb,St.Jeromes Funcken 2.0,2018-09-25 17:07:48 EDT,,Kieran Magee,Kieran Magee,43.4696711,-80.5455375,St.Jeromes Funcken 2.0,290 Westmount Road North Waterloo Ontario N2L 3G3 Canada,16:57,SJ2 - Academic Centre,,yes,no,40,yes,no,yes,yes,2.14,0,2.36,0,0,1.46,"Candy,Cookies,Muffins,Sandwiches/Wraps",2.21,2.19,5,https://web.fulcrumapp.com/photos/view?photos=4019b01d-f405-477a-9566-9882c51d4fe4
Point (-80.53909979760000226 43.47200108679999886),f35ab705-209f-4411-803d-9b7d441af332,Sweet Dreams Tea Shop,2018-09-21 17:11:36 EDT,,Dennis Hyunjin Kim,Manpreet Chahal,43.47200109,-80.5390998,Sweet Dreams Tea Shop,170 University Avenue West Waterloo Ontario N2L 3E9 Canada,16:58,Sweet Dreams Tea Shop,,yes,no,86,yes,no,yes,yes,1.65,1.95,0,3.83,0,0,"Buns,Hot Food,Salads,Sandwiches/Wraps",0,0,7,"https://web.fulcrumapp.com/photos/view?photos=931a9b27-c807-4b66-9227-c5ba0aa3896e,a5e752e7-5312-4d77-a27e-caefed7b91d2"
Point (-80.54012659779999694 43.46916379430000177),70cb7945-0dd9-40b5-a591-69c70a3e235a,Tim Horton,2018-09-24 10:56:32 EDT,,Apiraam Jaseharan,Apiraam Jaseharan,43.46916379,-80.5401266,Tim Horton,Ring Rd Waterloo ON N2L CA,10:54,South Campus Hall,,yes,no,60,yes,yes,yes,no,1.49,1.69,1.89,1.69,0,0,"Cookies,Hot Food,Muffins,Sandwiches/Wraps",1.39,0.99,5,https://web.fulcrumapp.com/photos/view?photos=6356424e-84f9-440f-97d8-c89d142caabe
Point (-80.54258300889999589 43.46879952260000124),55b07926-1ec7-414b-98cd-4e0e521971ee,Tim hortons,2018-09-25 14:55:24 EDT,,Nai Ahj Bjorn Faguharson,Nai Ahj Bjorn Faguharson,43.46879952,-80.54258301,Tim hortons,200 University Ave W Waterloo ON N2L CA,10:46,Modern Languages,,no,no,30,yes,yes,no,no,1.49,1.69,1.89,1.69,0,2.29,"Donuts,Hot Food,Muffins",1.39,99,3,https://web.fulcrumapp.com/photos/view?photos=02267ae4-bb6b-4212-814f-ef4770481c81
Point (-80.54519471710000289 43.47136363709999785),09fa49b5-7b7c-40c0-850a-8c1072259ee1,Tim Hortons,2018-09-24 16:58:30 EDT,,Jonathan Aloysius Maclellan,Jonathan Aloysius Maclellan,43.47136364,-80.54519472,Tim Hortons,Ring Rd Waterloo ON N2L CA,16:44,Student life center,,yes,no,59,yes,no,yes,no,1.49,1.69,2.09,1.69,2,2.39,"Cookies,Donuts,Muffins,Sandwiches/Wraps",1.69,0.99,6,
Point (-80.54348790000000236 43.46822759999999874),ec677abe-a006-4752-ab9c-2c42a41b5e97,William's Fresh Cafe,2018-09-24 20:40:15 EDT,,Hunter Philip Sargeant,Hunter Philip Sargeant,43.4682276,-80.5434879,William's Fresh Cafe,200 University Avenue West Waterloo Ontario N2L 3G1 Canada,9:55,EV3,,yes,no,52.5,yes,yes,yes,no,1.95,2.19,2.29,2.29,2.69,1.89,"Cookies,Hot Food,Muffins,Salads,Sandwiches/Wraps,bagels",2.25,1.25,9,https://web.fulcrumapp.com/photos/view?photos=725cb585-842e-4584-bcb1-0696ba6b55c1
